Woodford,"1,067,386","1,061,534 1,038,559","1,067,716",44,,-0.5 -2.2 2.8 23
Indiana,"325,841,725","337,149,634 338,350,092","329,863,318",--,,3.5 0.4 -2.5 --
Adams,"1,622,756","1,656,006 1,710,147","1,685,437",36,,2.0 3.3 -1.4 53
Allen,"19,042,035","19,792,310 19,748,219","18,927,630",3,,3.9 -0.2 -4.2 77
Bartholomew,"5,646,810","6,089,152 6,040,912","5,579,423",12,,7.8 -0.8 -7.6 88
Benton,"406,447","398,175 446,228","485,458",82,,-2.0 12.1 8.8 1
Blackford,"295,650","319,468 309,054","304,505",86,,8.1 -3.3 -1.5 54
Boone,"2,929,577","3,086,527 3,261,336","3,495,341",20,,5.4 5.7 7.2 6
Brown,"255,266","267,760 260,048","245,676",87,,4.9 -2.9 -5.5 84
Carroll,"602,960","640,762 645,402","669,333",68,,6.3 0.7 3.7 13
Cass,"1,256,288","1,263,209 1,269,636","1,271,475",49,,0.6 0.5 0.1 35
Clark,"4,786,809","4,869,101 4,864,182","4,842,045",15,,1.7 -0.1 -0.5 42
Clay,"714,855","707,541 686,740","695,762",67,,-1.0 -2.9 1.3 26
Clinton,"1,404,772","1,410,901 1,379,734","1,378,135",44,,0.4 -2.2 -0.1 38
Crawford,"175,052","176,096 162,618","167,668",90,,0.6 -7.7 3.1 16
Daviess,"1,187,733","1,259,143 1,237,815","1,260,138",50,,6.0 -1.7 1.8 23
Dearborn,"1,615,145","1,602,708 1,655,602","1,716,007",33,,-0.8 3.3 3.6 14
Decatur,"1,418,061","1,518,790 1,544,584","1,551,376",41,,7.1 1.7 0.4 34
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
DeKalb,"2,372,507","2,427,369 2,460,484","2,395,180",28,,2.3 1.4 -2.7 66
Delaware,"3,631,242","3,662,091 3,687,822","3,633,087",19,,0.8 0.7 -1.5 56
Dubois,"2,588,926","2,687,958 2,614,096","2,532,051",26,,3.8 -2.7 -3.1 71
Elkhart,"14,831,445","14,876,298 14,330,603","14,261,050",5,,0.3 -3.7 -0.5 43
Fayette,"527,395","534,486 515,967","513,976",80,,1.3 -3.5 -0.4 41
Floyd,"2,643,019","2,732,009 2,748,242","2,658,311",25,,3.4 0.6 -3.3 74
Fountain,"428,786","447,886 433,885","466,461",83,,4.5 -3.1 7.5 5
Franklin,"529,651","532,204 500,001","520,967",79,,0.5 -6.1 4.2 10
Fulton,"615,863","645,367 634,208","640,187",70,,4.8 -1.7 0.9 29
Gibson,"3,491,718","3,305,056 3,086,643","3,100,741",23,,-5.3 -6.6 0.5 33
Grant,"2,132,047","2,201,678 2,162,077","2,093,862",31,,3.3 -1.8 -3.2 72
Greene,"599,650","612,829 597,792","576,789",74,,2.2 -2.5 -3.5 75
Hamilton,"17,179,247","17,940,823 18,564,640","18,110,560",4,,4.4 3.5 -2.4 64
Hancock,"2,509,288","2,660,482 2,871,490","2,867,248",24,,6.0 7.9 -0.1 40
Harrison,"999,990","1,043,074 1,038,739","1,033,147",56,,4.3 -0.4 -0.5 44
Hendricks,"5,915,056","6,229,122 6,290,556","6,550,833",10,,5.3 1.0 4.1 11
Henry,"1,158,383","1,237,444 1,237,242","1,253,171",51,,6.8 0.0 1.3 27
Howard,"3,781,318","3,866,590 3,846,806","3,685,452",18,,2.3 -0.5 -4.2 78
Huntington,"1,351,920","1,360,897 1,355,548","1,330,672",46,,0.7 -0.4 -1.8 60
Jackson,"2,122,902","2,171,115 2,239,168","2,254,476",30,,2.3 3.1 0.7 31
Jasper,"1,433,332","1,466,707 1,450,472","1,343,705",45,,2.3 -1.1 -7.4 87
Jay,"942,641","992,433 892,661","879,459",59,,5.3 -10.1 -1.5 55
Jefferson,"1,352,245","1,382,521 1,425,459","1,405,204",43,,2.2 3.1 -1.4 52
Jennings,"659,313","692,167 706,525","716,252",65,,5.0 2.1 1.4 25
Johnson,"4,667,778","4,997,940 5,094,305","5,101,454",14,,7.1 1.9 0.1 36
Knox,"1,835,553","1,792,986 1,729,309","1,714,023",34,,-2.3 -3.6 -0.9 46
Kosciusko,"4,879,852","5,215,851 5,312,352","5,310,213",13,,6.9 1.9 0.0 37
Lagrange,"1,788,467","1,901,150 1,770,215","1,678,576",37,,6.3 -6.9 -5.2 83
Lake,"23,752,427","23,980,948 22,478,970","21,806,214",2,,1.0 -6.3 -3.0 69
LaPorte,"3,815,132","3,974,845 3,850,567","3,805,458",17,,4.2 -3.1 -1.2 49
Lawrence,"1,215,721","1,284,819 1,289,566","1,303,826",48,,5.7 0.4 1.1 28
Madison,"3,342,734","3,444,302 3,445,980","3,399,219",21,,3.0 0.0 -1.4 50
Marion,"79,960,857","82,818,853 84,798,947","81,197,410",1,,3.6 2.4 -4.2 80
Marshall,"1,560,707","1,579,727 1,531,483","1,516,544",42,,1.2 -3.1 -1.0 47
Martin,"943,845","978,859 1,017,607","1,055,446",54,,3.7 4.0 3.7 12
Miami,"930,401","920,288 894,104","861,825",60,,-1.1 -2.8 -3.6 76
Monroe,"6,092,970","6,284,623 6,249,464","6,186,198",11,,3.1 -0.6 -1.0 48
Montgomery,"1,544,443","1,596,960 1,566,957","1,606,946",39,,3.4 -1.9 2.6 19
Morgan,"1,446,657","1,538,520 1,635,657","1,660,253",38,,6.4 6.3 1.5 24
Newton,"310,718","329,489 320,406","346,336",84,,6.0 -2.8 8.1 3
Noble,"1,715,522","1,789,298 1,779,642","1,704,802",35,,4.3 -0.5 -4.2 79
Ohio,"118,832","113,104 100,111","91,361",92,,-4.8 -11.5 -8.7 90
Orange,"613,981","645,938 570,305","541,166",77,,5.2 -11.7 -5.1 82
Owen,"469,434","488,197 492,340","494,751",81,,4.0 0.8 0.5 32
Parke,"309,898","314,268 322,860","338,714",85,,1.4 2.7 4.9 9
Perry,"722,035","727,193 717,682","723,234",64,,0.7 -1.3 0.8 30
Pike,"766,844","639,299 678,710","625,626",71,-16.6,6.2 -7.8 89
Porter,"6,768,281","7,281,862 7,100,103","6,902,283",9,,7.6 -2.5 -2.8 68
Posey,"2,152,931","2,816,778 3,356,726","3,304,029",22,30.8,19.2 -1.6 57
Pulaski,"572,204","594,596 603,372","617,329",72,,3.9 1.5 2.3 20
Putnam,"1,039,151","1,038,278 1,012,895","993,706",57,,-0.1 -2.4 -1.9 61
Randolph,"703,643","709,279 715,849","714,945",66,,0.8 0.9 -0.1 39
Ripley,"1,055,320","1,060,328 1,065,771","1,087,534",53,,0.5 0.5 2.0 22
Rush,"545,053","588,620 586,085","576,478",75,,8.0 -0.4 -1.6 59
St. Joseph,"12,285,187","12,822,143 13,083,953","12,303,774",6,,4.4 2.0 -6.0 85
Scott,"632,476","658,212 652,077","641,588",69,,4.1 -0.9 -1.6 58
Shelby,"1,799,278","1,888,046 1,870,693","1,823,360",32,,4.9 -0.9 -2.5 65
Spencer,"1,148,702","1,111,657 1,009,600","849,445",61,,-3.2 -9.2 -15.9 92
Starke,"417,453","465,462 489,484","528,176",78,11.5,5.2 7.9 4
Steuben,"1,289,828","1,336,357 1,352,944","1,312,223",47,,3.6 1.2 -3.0 70
Sullivan,"906,779","887,081 897,679","817,463",62,,-2.2 1.2 -8.9 91
Switzerland,"208,969","220,313 212,013","197,086",89,,5.4 -3.8 -7.0 86
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Tippecanoe,"8,707,390","9,243,587 9,263,294","9,037,103",8,,6.2 0.2 -2.4 63
Tipton,"469,449","571,981 548,508","561,148",76,21.8,-4.1 2.3 21
Union,"130,088","133,325 125,604","129,360",91,,2.5 -5.8 3.0 17
Vanderburgh,"10,062,603","10,110,231 10,324,016","9,844,592",7,,0.5 2.1 -4.6 81
Vermillion,"802,532","782,890 728,194","791,356",63,,-2.4 -7.0 8.7 2
Vigo,"4,231,207","4,254,872 4,284,827","4,180,953",16,,0.6 0.7 -2.4 62
Wabash,"1,106,524","1,111,735 1,111,707","1,096,096",52,,0.5 0.0 -1.4 51
Warren,"221,335","230,553 216,932","229,338",88,,4.2 -5.9 5.7 7
Warrick,"2,150,322","2,239,843 2,211,066","2,289,923",29,,4.2 -1.3 3.6 15
Washington,"615,413","648,372 600,738","595,674",73,,5.4 -7.3 -0.8 45
Wayne,"2,498,955","2,561,613 2,554,088","2,485,429",27,,2.5 -0.3 -2.7 67
Wells,"1,063,621","1,125,284 1,084,754","1,050,120",55,,5.8 -3.6 -3.2 73
White,"894,582","932,751 909,937","957,235",58,,4.3 -2.4 5.2 8
Whitley,"1,347,475","1,490,338 1,513,924","1,556,320",40,10.6,1.6 2.8 18
Iowa,"170,182,727","172,929,375 172,905,960","169,420,257",--,,1.6 0.0 -2.0 --
Adair,"313,800","323,596 342,041","402,814",77,,3.1 5.7 17.8 1
Adams,"234,997","223,514 232,782","216,645",95,,-4.9 4.1 -6.9 86
Allamakee,"611,580","595,336 609,315","609,114",58,,-2.7 2.3 0.0 21
Appanoose,"378,648","369,005 367,427","358,406",84,,-2.5 -0.4 -2.5 44
Audubon,"266,518","274,321 334,638","315,436",89,,2.9 22.0 -5.7 75
Benton,"747,466","785,052 816,030","876,669",36,,5.0 3.9 7.4 4
Black Hawk,"6,966,501","7,133,450 6,983,426","6,739,491",5,,2.4 -2.1 -3.5 58
Boone,"886,179","929,320 955,484","985,932",30,,4.9 2.8 3.2 12
Bremer,"1,001,948","1,016,502 1,015,927","973,599",32,,1.5 -0.1 -4.2 65
Buchanan,"762,446","750,652 778,043","763,992",43,,-1.5 3.6 -1.8 37
Buena Vista,"1,195,128","1,265,631 1,177,286","1,176,198",23,,5.9 -7.0 -0.1 23
Butler,"399,648","388,839 390,680","405,203",76,,-2.7 0.5 3.7 10
Calhoun,"409,618","424,965 433,305","412,840",75,,3.7 2.0 -4.7 68
Carroll,"1,373,295","1,344,804 1,297,781","1,229,619",22,,-2.1 -3.5 -5.3 72
Cass,"607,901","623,829 609,903","586,425",61,,2.6 -2.2 -3.8 60
Cedar,"562,916","587,162 586,481","575,676",62,,4.3 -0.1 -1.8 38
Cerro Gordo,"2,317,284","2,315,013 2,216,619","2,168,339",13,,-0.1 -4.3 -2.2 41
Cherokee,"661,086","691,446 616,660","649,686",52,,4.6 -10.8 5.4 7
Chickasaw,"643,093","659,369 623,538","615,562",57,,2.5 -5.4 -1.3 34
Clarke,"373,946","403,645 375,800","350,593",85,,7.9 -6.9 -6.7 84
Clay,"899,698","981,167 1,033,121","1,002,724",29,,9.1 5.3 -2.9 51
Clayton,"855,526","857,017 876,540","813,471",39,,0.2 2.3 -7.2 88
Clinton,"2,088,638","2,047,825 1,985,487","1,935,211",14,,-2.0 -3.0 -2.5 48
Crawford,"731,005","749,281 743,393","733,641",44,,2.5 -0.8 -1.3 35
Dallas,"4,445,237","4,460,442 4,735,221","4,725,730",8,,0.3 6.2 -0.2 25
Davis,"236,131","256,943 238,854","236,188",94,,8.8 -7.0 -1.1 33
Decatur,"192,065","196,891 191,710","177,057",99,,2.5 -2.6 -7.6 90
Delaware,"978,284","938,525 894,253","900,088",34,,-4.1 -4.7 0.7 19
Des Moines,"2,109,136","2,046,900 1,970,021","1,821,165",16,,-3.0 -3.8 -7.6 89
Dickinson,"898,801","899,062 967,369","927,622",33,,0.0 7.6 -4.1 63
Dubuque,"5,791,772","5,811,398 5,985,867","5,801,448",6,,0.3 3.0 -3.1 53
Emmet,"340,033","379,314 371,031","319,903",87,11.6,-2.2 -13.8 96
Fayette,"739,120","751,129 723,829","723,357",47,,1.6 -3.6 -0.1 22
Floyd,"807,913","804,667 770,175","728,635",45,,-0.4 -4.3 -5.4 73
Franklin,"609,447","606,813 596,250","592,624",60,,-0.4 -1.7 -0.6 28
Fremont,"256,095","243,004 322,171","295,825",90,,-5.1 32.6 -8.2 93
Greene,"424,870","454,795 455,510","463,472",71,,7.0 0.2 1.7 16
Grundy,"454,522","457,044 471,955","497,417",69,,0.6 3.3 5.4 6
Guthrie,"452,623","456,391 411,223","432,510",74,,0.8 -9.9 5.2 8
Hamilton,"865,855","918,954 831,627","724,844",46,,6.1 -9.5 -12.8 95
Hancock,"773,093","796,116 748,067","709,534",48,,3.0 -6.0 -5.2 71
Hardin,"871,504","859,782 812,628","765,366",42,,-1.3 -5.5 -5.8 76
Harrison,"381,667","382,235 391,695","387,493",79,,0.1 2.5 -1.1 32
Henry,"848,019","870,466 847,711","808,335",40,,2.6 -2.6 -4.6 67
Howard,"433,992","450,206 459,868","458,488",72,,3.7 2.1 -0.3 27
Humboldt,"423,485","438,285 462,962","444,169",73,,3.5 5.6 -4.1 62
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Ida,"456,136","457,383 477,808","531,668",66,,0.3 4.5 11.3 2
Iowa,"1,019,586","1,087,107 1,048,243","1,025,439",28,,6.6 -3.6 -2.2 40
Jackson,"629,157","612,554 611,405","635,772",54,,-2.6 -0.2 4.0 9
Jasper,"1,090,848","1,062,652 1,112,617","1,084,946",26,,-2.6 4.7 -2.5 45
Jefferson,"619,489","645,065 641,917","620,901",56,,4.1 -0.5 -3.3 55
Johnson,"8,447,889","8,480,404 8,467,681","8,212,803",4,,0.4 -0.2 -3.0 52
Jones,"590,450","585,046 577,901","598,102",59,,-0.9 -1.2 3.5 11
Keokuk,"339,918","347,023 357,311","341,047",86,,2.1 3.0 -4.6 66
Kossuth,"925,829","951,235 918,126","856,257",38,,2.7 -3.5 -6.7 85
Lee,"1,590,843","1,581,692 1,595,064","1,560,691",19,,-0.6 0.8 -2.2 39
Linn,"15,350,188","15,766,743 15,261,669","14,876,063",2,,2.7 -3.2 -2.5 47
Louisa,"606,694","661,938 719,866","674,845",50,,9.1 8.8 -6.3 80
Lucas,"288,291","290,696 295,145","292,165",91,,0.8 1.5 -1.0 31
Lyon,"1,085,045","1,035,581 1,011,527","869,854",37,,-4.6 -2.3 -14.0 97
Madison,"392,158","379,552 384,322","378,033",80,,-3.2 1.3 -1.6 36
Mahaska,"822,298","903,515 857,388","802,001",41,,9.9 -5.1 -6.5 81
Marion,"1,726,203","1,791,888 1,899,346","1,825,393",15,,3.8 6.0 -3.9 61
Marshall,"1,640,729","1,722,053 1,705,362","1,723,522",18,,5.0 -1.0 1.1 18
Mills,"468,418","492,374 557,952","495,673",70,,5.1 13.3 -11.2 94
Mitchell,"601,456","653,509 661,526","621,991",55,,8.7 1.2 -6.0 78
Monona,"305,918","294,154 320,313","319,428",88,,-3.8 8.9 -0.3 26
Monroe,"356,590","382,597 383,970","375,333",81,,7.3 0.4 -2.2 42
Montgomery,"384,746","388,257 386,289","363,504",82,,0.9 -0.5 -5.9 77
Muscatine,"2,497,704","2,467,283 2,388,163","2,311,461",12,,-1.2 -3.2 -3.2 54
O'Brien,"951,716","931,044 924,587","886,548",35,,-2.2 -0.7 -4.1 64
Osceola,"463,510","470,559 385,969","359,123",83,,1.5 -18.0 -7.0 87
Page,"555,501","553,845 577,598","558,239",65,,-0.3 4.3 -3.4 56
Palo Alto,"603,935","628,157 567,112","521,242",67,,4.0 -9.7 -8.1 92
Plymouth,"1,398,448","1,436,499 1,428,315","1,339,989",21,,2.7 -0.6 -6.2 79
Pocahontas,"540,494","584,971 609,856","513,918",68,,8.2 4.3 -15.7 98
Polk,"38,224,166","38,797,599 39,489,590","40,003,968",1,,1.5 1.8 1.3 17
Pottawattamie,"3,888,314","4,064,659 3,932,364","3,627,672",10,,4.5 -3.3 -7.7 91
Poweshiek,"974,203","1,030,763 1,044,786","1,106,728",24,,5.8 1.4 5.9 5
Ringgold,"195,623","192,530 204,306","193,972",98,,-1.6 6.1 -5.1 70
Sac,"548,065","560,019 568,502","568,873",64,,2.2 1.5 0.1 20
Scott,"8,554,120","8,511,626 8,709,079","8,387,605",3,,-0.5 2.3 -3.7 59
Shelby,"648,073","677,773 697,693","651,440",51,,4.6 2.9 -6.6 83
Sioux,"2,609,813","2,642,718 2,496,775","2,427,524",11,,1.3 -5.5 -2.8 49
Story,"4,928,744","4,947,350 4,987,743","4,862,860",7,,0.4 0.8 -2.5 46
Tama,"549,624","587,013 609,441","676,404",49,,6.8 3.8 11.0 3
Taylor,"227,359","233,071 245,069","238,099",93,,2.5 5.1 -2.8 50
Union,"539,698","571,216 575,428","574,710",63,,5.8 0.7 -0.1 24
Van Buren,"215,555","223,575 208,429","194,837",97,,3.7 -6.8 -6.5 82
Wapello,"1,497,341","1,489,861 1,478,010","1,405,406",20,,-0.5 -0.8 -4.9 69
Warren,"1,117,110","1,086,155 1,128,907","1,101,369",25,,-2.8 3.9 -2.4 43
Washington,"1,130,474","1,198,498 1,253,762","1,034,583",27,,6.0 4.6 -17.5 99
Wayne,"203,177","221,067 210,467","214,858",96,,8.8 -4.8 2.1 15
Webster,"1,949,704","1,890,819 1,898,607","1,795,898",17,,-3.0 0.4 -5.4 74
Winnebago,"383,567","414,956 390,344","401,474",78,,8.2 -5.9 2.9 14
Winneshiek,"931,825","950,137 949,011","977,316",31,,2.0 -0.1 3.0 13
Woodbury,"4,563,621","4,775,913 4,663,116","4,505,396",9,,4.7 -2.4 -3.4 57
Worth,"276,959","274,455 273,178","270,948",92,,-0.9 -0.5 -0.8 30
Wright,"669,637","769,053 647,649","643,686",53,14.8,-15.8 -0.6 29
Kansas,"155,407,884","158,906,333 160,182,322","156,770,113",--,,2.3 0.8 -2.1 --
Allen,"467,064","498,430 537,849","537,007",37,,6.7 7.9 -0.2 45
Anderson,"246,617","243,035 266,839","279,938",60,,-1.5 9.8 4.9 19
Atchison,"677,964","688,237 689,470","653,366",30,,1.5 0.2 -5.2 88
Barber,"239,700","211,938 205,882","206,714",73,-11.6,-2.9 0.4 40
Barton,"1,169,192","1,161,532 1,192,574","1,152,933",22,,-0.7 2.7 -3.3 76
Bourbon,"578,010","630,285 557,183","551,341",35,,9.0 -11.6 -1.0 53
Brown,"457,775","521,447 513,114","471,878",39,13.9,-1.6 -8.0 99
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Butler,"2,298,167","2,351,738 2,387,802","2,412,601",9,,2.3 1.5 1.0 37
Chase,"119,972","131,682 129,757","125,281",98,,9.8 -1.5 -3.4 78
Chautauqua,"72,472","76,469 72,755","76,430",103,,5.5 -4.9 5.1 18
Cherokee,"641,250","688,090 695,416","717,388",28,,7.3 1.1 3.2 27
Cheyenne,"103,837","126,796 125,305","138,108",91,22.1,-1.2 10.2 7
Clark,"203,965","223,880 213,455","207,497",72,,9.8 -4.7 -2.8 70
Clay,"249,927","266,466 282,184","268,434",61,,6.6 5.9 -4.9 86
Cloud,"329,103","341,576 357,553","347,936",51,,3.8 4.7 -2.7 69
Coffey,"830,692","776,864 773,136","804,570",26,,-6.5 -0.5 4.1 23
Comanche,"73,413","64,045 68,988","60,603",105,-12.8,7.7 -12.2 103
Cowley,"1,292,631","1,314,131 1,246,988","1,222,928",19,,1.7 -5.1 -1.9 62
Crawford,"1,406,205","1,474,252 1,487,985","1,495,298",16,,4.8 0.9 0.5 39
Decatur,"118,377","135,842 143,700","154,304",87,14.8,5.8 7.4 14
Dickinson,"582,486","615,206 602,462","592,121",32,,5.6 -2.1 -1.7 58
Doniphan,"256,898","241,436 268,532","239,185",67,,-6.0 11.2 -10.9 102
Douglas,"4,443,152","4,572,224 4,581,216","4,362,445",5,,2.9 0.2 -4.8 85
Edwards,"209,575","201,950 204,201","189,183",78,,-3.6 1.1 -7.4 95
Elk,"80,690","73,755 74,578","70,286",104,,-8.6 1.1 -5.8 89
Ellis,"1,457,095","1,488,379 1,478,814","1,467,560",17,,2.1 -0.6 -0.8 48
Ellsworth,"244,809","255,743 270,728","265,638",62,,4.5 5.9 -1.9 60
Finney,"2,118,006","2,218,339 2,110,368","2,061,237",13,,4.7 -4.9 -2.3 67
Ford,"1,943,235","2,149,930 2,106,351","2,173,959",12,10.6,-2.0 3.2 26
Franklin,"797,769","845,581 828,536","818,567",25,,6.0 -2.0 -1.2 54
Geary,"2,664,914","2,670,597 2,633,825","2,671,243",6,,0.2 -1.4 1.4 35
Gove,"156,589","156,065 152,348","155,147",86,,-0.3 -2.4 1.8 34
Graham,"132,986","130,788 130,081","128,804",96,,-1.7 -0.5 -1.0 52
Grant,"580,591","632,022 485,625","461,610",41,,8.9 -23.2 -4.9 87
Gray,"803,988","782,754 701,121","609,623",31,,-2.6 -10.4 -13.1 104
Greeley,"178,228","171,045 159,555","160,056",83,,-4.0 -6.7 0.3 42
Greenwood,"152,997","156,523 153,354","150,528",89,,2.3 -2.0 -1.8 59
Hamilton,"264,709","298,381 307,977","300,034",55,12.7,3.2 -2.6 68
Harper,"318,338","313,968 330,280","336,793",53,,-1.4 5.2 2.0 32
Harvey,"1,118,925","1,198,149 1,194,007","1,154,214",21,,7.1 -0.3 -3.3 77
Haskell,"582,712","491,271 357,932","337,005",52,-15.7,-27.1 -5.8 90
Hodgeman,"159,546","156,402 161,290","155,446",85,,-2.0 3.1 -3.6 80
Jackson,"329,293","370,144 353,105","350,273",49,12.4,-4.6 -0.8 49
Jefferson,"391,865","394,754 398,250","389,694",46,,0.7 0.9 -2.1 64
Jewell,"95,238","130,227 139,435","134,852",93,36.7,7.1 -3.3 75
Johnson,"43,583,997","44,869,982 46,428,493","45,975,899",1,,3.0 3.5 -1.0 51
Kearny,"267,023","257,969 260,732","265,580",63,,-3.4 1.1 1.9 33
Kingman,"271,382","272,293 277,391","348,925",50,,0.3 1.9 25.8 3
Kiowa,"115,036","129,460 112,542","123,322",99,12.5,-13.1 9.6 8
Labette,"765,305","780,532 779,473","744,087",27,,2.0 -0.1 -4.5 82
Lane,"163,765","159,786 142,236","129,817",95,,-2.4 -11.0 -8.7 100
Leavenworth,"2,645,531","2,668,523 2,604,170","2,562,300",7,,0.9 -2.4 -1.6 57
Lincoln,"110,319","108,880 98,786","125,795",97,,-1.3 -9.3 27.3 2
Linn,"381,639","427,896 441,336","464,947",40,12.1,3.1 5.3 17
Logan,"156,433","149,140 150,559","168,538",80,,-4.7 1.0 11.9 5
Lyon,"1,210,759","1,357,846 1,310,621","1,315,623",18,12.1,-3.5 0.4 41
McPherson,"1,937,080","2,099,008 2,042,434","1,975,391",14,,8.4 -2.7 -3.3 74
Marion,"326,130","359,287 391,573","378,791",47,10.2,9.0 -3.3 73
Marshall,"468,566","470,338 467,741","458,072",42,,0.4 -0.6 -2.1 63
Meade,"247,562","264,470 289,356","261,867",65,,6.8 9.4 -9.5 101
Miami,"832,406","875,106 878,673","870,369",24,,5.1 0.4 -0.9 50
Mitchell,"368,208","397,227 417,815","422,965",44,,7.9 5.2 1.2 36
Montgomery,"1,451,863","1,601,484 1,723,501","1,774,966",15,10.3,7.6 3.0 28
Morris,"174,653","208,613 188,196","189,998",77,19.4,-9.8 1.0 38
Morton,"160,483","157,743 139,749","150,566",88,,-1.7 -11.4 7.7 12
Nemaha,"458,797","464,952 391,116","426,018",43,,1.3 -15.9 8.9 10
Neosho,"502,707","516,292 568,001","527,388",38,,2.7 10.0 -7.2 94
Ness,"173,438","182,716 186,109","192,308",75,,5.3 1.9 3.3 25
Norton,"223,584","212,622 226,168","236,493",68,,-4.9 6.4 4.6 21
"",,Real gross domestic product,,,,Percent change from preceding period
"",,Thousands of chained (2012) dollars,,Rank in state,,Percent change Rank in state
"",2017,2018 2019,2020,2020,2018,2019 2020 2020
Osage,"267,372","297,439 291,580","290,191",57,11.2,-2.0 -0.5 47
Osborne,"162,222","167,818 165,896","163,332",81,,3.4 -1.1 -1.5 55
Ottawa,"108,805","108,638 101,593","110,859",100,,-0.2 -6.5 9.1 9
Pawnee,"302,612","289,332 296,129","283,126",59,,-4.4 2.3 -4.4 81
Phillips,"334,103","365,737 384,490","397,344",45,,9.5 5.1 3.3 24
Pottawatomie,"1,295,662","1,298,356 1,117,860","1,093,410",23,,0.2 -13.9 -2.2 65
Pratt,"522,630","521,946 584,382","557,276",34,,-0.1 12.0 -4.6 83
Rawlins,"123,517","117,202 117,585","142,977",90,,-5.1 0.3 21.6 4
Reno,"2,254,450","2,287,785 2,322,364","2,285,662",11,,1.5 1.5 -1.6 56
Republic,"204,974","202,709 218,773","202,298",74,,-1.1 7.9 -7.5 98
Rice,"500,898","509,711 624,383","584,050",33,,1.8 22.5 -6.5 92
Riley,"2,475,586","2,431,925 2,438,944","2,370,597",10,,-1.8 0.3 -2.8 71
Rooks,"223,798","202,341 181,885","190,756",76,,-9.6 -10.1 4.9 20
Rush,"122,469","143,736 155,966","155,519",84,17.4,8.5 -0.3 46
Russell,"329,658","261,442 256,462","262,542",64,-20.7,-1.9 2.4 31
Saline,"2,640,325","2,665,627 2,602,044","2,480,833",8,,1.0 -2.4 -4.7 84
Scott,"538,243","463,513 349,188","322,982",54,-13.9,-24.7 -7.5 97
Sedgwick,"29,303,637","29,040,351 29,529,249","27,591,664",2,,-0.9 1.7 -6.6 93
Seward,"1,213,964","1,245,253 1,157,326","1,189,257",20,,2.6 -7.1 2.8 29
Shawnee,"9,281,647","9,589,193 9,391,170","9,399,237",4,,3.3 -2.1 0.1 43
Sheridan,"140,475","107,916 103,768","133,084",94,-23.2,-3.8 28.3 1
Sherman,"269,168","277,664 277,223","284,558",58,,3.2 -0.2 2.6 30
Smith,"122,683","146,424 161,018","173,358",79,19.4,10.0 7.7 13
Stafford,"173,923","184,925 195,286","207,651",71,,6.3 5.6 6.3 16
Stanton,"204,123","192,009 242,385","234,000",69,,-5.9 26.2 -3.5 79
Stevens,"338,177","314,879 337,332","352,521",48,,-6.9 7.1 4.5 22
Sumner,"626,398","643,744 711,201","658,477",29,,2.8 10.5 -7.4 96
Thomas,"440,358","470,788 483,434","540,529",36,,6.9 2.7 11.8 6
Trego,"160,227","170,886 165,140","161,973",82,,6.7 -3.4 -1.9 61
Wabaunsee,"125,531","144,744 140,330","136,101",92,15.3,-3.0 -3.0 72
Wallace,"81,876","91,948 98,873","106,165",101,12.3,7.5 7.4 15
Washington,"197,136","214,052 212,751","230,175",70,,8.6 -0.6 8.2 11
Wichita,"358,361","319,755 291,702","240,836",66,-10.8,-8.8 -17.4 105
Wilson,"330,090","321,987 314,648","295,075",56,,-2.5 -2.3 -6.2 91
Woodson,"80,950","79,557 80,610","80,660",102,,-1.7 1.3 0.1 44
Wyandotte,"10,713,098","11,109,051 11,056,360","10,800,431",3,,3.7 -0.5 -2.3 66
Kentucky,"185,866,534","188,083,579 191,355,498","185,535,131",--,,1.2 1.7 -3.0 --
Adair,"330,134","340,837 346,089","343,265",70,,3.2 1.5 -0.8 40
Allen,"458,936","464,886 457,926","427,733",62,,1.3 -1.5 -6.6 107
Anderson,"528,494","514,290 513,638","492,891",57,,-2.7 -0.1 -4.0 84
Ballard,"193,368","180,909 203,399","208,519",92,,-6.4 12.4 2.5 19
Barren,"1,368,688","1,321,278 1,319,369","1,277,879",27,,-3.5 -0.1 -3.1 66
Bath,"173,952","182,140 183,392","177,204",102,,4.7 0.7 -3.4 70
Bell,"728,771","693,519 706,970","683,774",49,,-4.8 1.9 -3.3 69
Boone,"10,001,234","10,407,533 10,561,822","10,200,886",3,,4.1 1.5 -3.4 72
Bourbon,"958,761","1,013,014 955,326","863,098",40,,5.7 -5.7 -9.7 113
Boyd,"3,600,278","3,956,545 4,082,463","4,053,520",8,,9.9 3.2 -0.7 38
Boyle,"1,121,968","1,123,969 1,148,042","1,074,985",32,,0.2 2.1 -6.4 105
